kind,file,line,name,verdict,reason,flag,fire_route,in_param_manifest
function,src/composing/analysis/joint/jointadapter.cpp,,chordTransLogp,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,emissionLogp,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,spellingLogp,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,bassLogp,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,factorAbsentLogp,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,boundaryLogp,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.h,,log0Floor,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.h,,loaded,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.h,,error,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.h,,corpusGitHash,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.h,,weights,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.h,,tables,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.h,,cadenceWeight,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointdecoder.cpp,,popcount,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,stateEnc,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,keyEnc,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,keyString,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,eventBassPc,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,prepare,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:DP,no
function,src/composing/analysis/joint/jointdecoder.cpp,,overlapPcs,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:DP,no
function,src/composing/analysis/joint/jointdecoder.cpp,,approachWindowPcs,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:DP,no
function,src/composing/analysis/joint/jointdecoder.cpp,,chromaticRootPc,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:candidate-admission,no
function,src/composing/analysis/joint/jointdecoder.cpp,,get,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:DP,no
function,src/composing/analysis/joint/jointdecoder.cpp,,Vocabulary,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:DP,no
function,src/composing/analysis/joint/jointdecoder.cpp,,find,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:DP,no
function,src/composing/analysis/joint/jointdecoder.cpp,,segmentFeatures,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,weightedContent,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,cadenceFired,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,candidateKeys,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:candidate-admission,no
function,src/composing/analysis/joint/jointdecoder.cpp,,candidateStates,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:candidate-admission,no
function,src/composing/analysis/joint/jointdecoder.cpp,,segmentContentScore,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,computePosteriorSlice,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:content-posterior,no
function,src/composing/analysis/joint/jointdecoder.cpp,,decodePiece,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:DP,no
function,src/composing/analysis/joint/jointdecoder.cpp,,loadPiecesFromNoteEvents,SURVIVES,production-surviving joint module function (notation record path + batch decode),,decode:DP,no
function,src/composing/analysis/joint/jointdecoder.h,,ordered,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointfactadapter.cpp,,round4,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,beatClass,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,beatDurTicks,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,buildGrid,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,gridIndexOf,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,measureNumberOf,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,notePaddedBeat,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,buildEventMeasMap,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,eventMeasureBeat,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,melodic,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointfactadapter.cpp,,buildAdapterFacts,SURVIVES,production-surviving joint module function (notation record path + batch decode),,fact-adapter (buildAdapterFacts; not a decode branch),no
function,src/composing/analysis/joint/jointnotationproducer.cpp,,produceNotationRecord,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointnotationproducer.cpp,,produceNotationRecord,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointnotationproducer.cpp,,spanViewSegments,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointnotationproducer.cpp,,noteView,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointnotationrecord.cpp,,recordDiatonicToKey,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointnotationrecord.cpp,,recordAugSixthSubType,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointnotationrecord.cpp,,degreeFromLofDiff,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointnotationrecord.cpp,,computeModalReading,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointnotationrecord.cpp,,bassFactorRole,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointnotationrecord.cpp,,assembleNotationRecord,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointprimitives.cpp,,degreeNum,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,qualTemplates,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,isDimQuality,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,maskOf,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,majRelColl,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,minRelColl,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,pythonMod,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,splitDegree,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,chordRoot,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,splitByPipe,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,familyKeyOf,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,startsWith,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,pcToFifths,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,pcKeyName,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,frameworkAndRoot,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,memberPcs,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,chordFactorPcs,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,noteCategory,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,intervalLof,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,degreeLofOffset,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,frameworkTonicLof,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,keySignatureFifths,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,rootSpellingLof,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,factorSpellingLof,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,keyCollectionMask,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,spellingBin,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,spellingParent,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,emitDisplay,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,emitContextChain,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,collectionFifths,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,foldFifthsDiff,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,cofDistance,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,keyChangeKind,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,t1CtxChain,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,t4CtxChain,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,t1OutcomeParent,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,t3EntryParent,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,appliedRelParent,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.cpp,,relationCell,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.h,,neumaierSum,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.h,,keyStr,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.h,,ofClass,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointprimitives.h,,ofStr,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointrender.cpp,,jointOursQuality,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointrender.cpp,,jointChordSymbol,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointrender.cpp,,jointRenderRn,SURVIVES,production-surviving joint module function (notation record path + batch decode),,record-assembly,no
function,src/composing/analysis/joint/jointtables.cpp,,parseRoot,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointtables.cpp,,readRoot,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointtables.cpp,,parseDist,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointtables.cpp,,parseKatz,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointtables.cpp,,parseBoundaryCell,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointtables.cpp,,buildTables,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointtables.cpp,,load,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointtables.cpp,,loadEmbedded,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointweights.cpp,,get,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointweights.cpp,,identityWeights,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointweights.cpp,,selectedWeights,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.cpp,,m_rawUnnormalized,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.cpp,,key,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.cpp,,inversionFree,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.cpp,,family,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.cpp,,isSeventhQuality,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.cpp,,classFromKey,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.h,,degreeBase,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.h,,quality,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.h,,inversion,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.h,,target,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/labelclass.h,,rawUnnormalized,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
decl,src/composing/analysis/joint/jointadapter.h,46,log0Floor,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,47,safeLog,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,70,cadenceWeight,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,71,anyCadenceWeight,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,74,priorLogp,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,79,entryLogp,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,80,keyTransLogp,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,81,chordTransLogp,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,84,spellingLogp,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,87,factorAbsentLogp,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,88,boundaryLogp,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,93,modeName,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,94,modeMarginal,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointadapter.h,97,firstBucket,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointdecoder.h,73,prepare,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointdecoder.h,74,overlapPcs,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointdecoder.h,75,approachWindowPcs,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointdecoder.h,88,get,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointdecoder.h,95,chromaticRootPc,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointdecoder.h,102,Vocabulary,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointdecoder.h,104,find,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointdecoder.h,175,loadPiecesFromNoteEvents,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointnotationproducer.h,88,spanViewSegments,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointnotationproducer.h,102,noteView,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointnotationrecord.h,178,recordDiatonicToKey,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointnotationrecord.h,184,recordAugSixthSubType,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,100,startsWith,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,104,pcToFifths,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,109,pcKeyName,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,120,frameworkAndRoot,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,122,memberPcs,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,124,chordFactorPcs,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,126,noteCategory,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,128,keyCollectionMask,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,135,keySignatureFifths,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,142,rootSpellingLof,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,147,factorSpellingLof,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,150,spellingBin,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,152,spellingParent,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,156,emitDisplay,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,162,collectionFifths,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,163,foldFifthsDiff,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,164,cofDistance,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,165,keyChangeKind,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,168,t1CtxChain,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
decl,src/composing/analysis/joint/jointprimitives.h,169,t4CtxChain,SURVIVES,declaration of the surviving joint module (public/struct surface),,n/a:structural (route-A:tests exercises the reader),no
