=== ROW-BY-ROW (my verdict/flag vs pass1 verdict) ===
po|kind|file|line|MINE_verdict|MINE_flag|P1_verdict|P1_flagclass|match
34|crosslayer|metricweights.cpp|35|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
35|field|note_model.h|82|PUBLISHED|CLEAN|PUBLISHED|P1-CLEAN|AGREE
36|branch|phraseboundaryview.cpp|183|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
37|branch|regiontoneprimitives.cpp|586|SURVIVES|FLAG|SURVIVES-MIXED|P1-FLAG|AGREE
38|branch|regiontonecollector.cpp|242|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
39|crosslayer|regiontonecollector.cpp|35|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
40|branch|regiontoneprimitives.cpp|244|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
41|branch|metricweights.cpp|77|SURVIVES|FLAG-MINOR|SURVIVES-MIXED|P1-FLAG|AGREE
42|branch|regiontonecollector.cpp|320|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
43|branch|note_model.cpp|134|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
44|literal|phraseboundaryview.cpp|264|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
45|literal|phraseboundaryview.cpp|315|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
46|branch|regiontonecollector.cpp|355|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
47|literal|metricweights.h|58|UNFIT|FLAG-MINOR|UNFIT|P1-FLAG|AGREE
48|branch|regiontoneprimitives.cpp|180|SURVIVES|CLEAN|RETIRES|P1-FLAG|DIFF
49|branch|regiontonecollector.cpp|277|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
50|function|note_model.cpp|278|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
51|crosslayer|spellingview.h|60|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
52|literal|metricweights.h|57|UNFIT|FLAG-MINOR|UNFIT|P1-FLAG|AGREE
53|branch|spellingview.cpp|47|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
54|branch|regiontonecollector.cpp|336|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
55|branch|regiontoneprimitives.cpp|147|SURVIVES|CLEAN|RETIRES|P1-FLAG|DIFF
56|function|note_model.cpp|75|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
57|crosslayer|phraseboundaryview.cpp|39|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
58|branch|regiontonecollector.cpp|275|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
59|function|phraseboundaryview.cpp|257|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
60|crosslayer|phraseboundaryview.cpp|41|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
61|literal|phraseboundaryview.cpp|345|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
62|branch|regiontoneprimitives.cpp|240|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
63|function|metricweights.cpp|39|SURVIVES|FLAG-MINOR|SURVIVES-MIXED|P1-FLAG|AGREE
64|literal|phraseboundaryview.h|103|UNFIT|FLAG-MINOR|UNFIT|P1-FLAG|AGREE
65|branch|regiontoneprimitives.cpp|356|SURVIVES|FLAG-MINOR|RETIRES|P1-FLAG|AGREE
66|branch|spellingview.cpp|59|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
67|branch|phraseboundaryview.cpp|200|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
68|branch|regiontonecollector.cpp|254|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
69|field|slicer.h|86|PUBLISHED|CLEAN|PUBLISHED|P1-CLEAN|AGREE
70|branch|phraseboundaryview.cpp|319|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
71|field|note_model.h|90|PUBLISHED|CLEAN|PUBLISHED|P1-CLEAN|AGREE
72|literal|regiontonecollector.cpp|367|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
73|literal|note_model.cpp|268|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
74|literal|regiontonecollector.cpp|361|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
75|crosslayer|regiontoneprimitives.cpp|34|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
76|branch|metricweights.cpp|44|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
77|branch|regiontonecollector.cpp|361|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
78|branch|regiontoneprimitives.cpp|64|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
79|field|regiontonecollector.h|250|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
80|branch|regiontoneprimitives.cpp|544|SURVIVES|FLAG|SURVIVES-MIXED|P1-FLAG|AGREE
81|function|note_model.h|200|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
82|branch|regiontoneprimitives.cpp|320|SURVIVES|FLAG-MINOR|RETIRES|P1-FLAG|AGREE
83|branch|spellingview.cpp|64|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
84|branch|metricweights.cpp|45|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
85|function|metricweights.cpp|131|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
86|crosslayer|regiontonecollector.cpp|30|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
87|branch|phraseboundaryview.cpp|78|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
88|branch|regiontonecollector.cpp|311|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
89|branch|regiontonecollector.cpp|184|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
90|crosslayer|slicer.h|75|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
91|branch|regiontoneprimitives.cpp|425|SURVIVES|FLAG-MINOR|RETIRES|P1-FLAG|AGREE
92|function|spellingview.cpp|44|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
93|crosslayer|regiontonecollector.cpp|31|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
94|branch|regiontoneprimitives.cpp|252|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
95|field|phraseboundaryview.h|114|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
96|literal|regiontonecollector.cpp|215|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
97|branch|spellingview.cpp|72|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
98|function|metricweights.cpp|55|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
99|function|note_model.h|207|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
100|field|note_model.h|84|PUBLISHED|CLEAN|PUBLISHED|P1-CLEAN|AGREE
101|function|phraseboundaryview.cpp|285|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
102|function|note_model.h|197|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
103|branch|regiontoneprimitives.cpp|263|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
104|field|spellingview.h|100|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
105|branch|phraseboundaryview.cpp|146|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
106|field|note_model.h|85|PUBLISHED|CLEAN|PUBLISHED|P1-CLEAN|AGREE
107|branch|regiontonecollector.cpp|188|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
108|literal|phraseboundaryview.cpp|366|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
109|literal|phraseboundaryview.cpp|315|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
110|literal|phraseboundaryview.cpp|225|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE

flagged/clean-level: AGREE=81 DIFF=29 NOMATCH=0 of 110

=== DIFF rows ===
6|function|note_model.cpp|204|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
8|branch|metricweights.cpp|173|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
14|function|regiontonecollector.h|92|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
16|literal|metricweights.h|104|ESTABLISHED|CLEAN|UNFIT|P1-FLAG|DIFF
23|field|spellingview.h|102|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
26|literal|regiontonecollector.cpp|297|ESTABLISHED|CLEAN|ESTABLISHED/UNFIT|P1-FLAG|DIFF
28|branch|metricweights.cpp|142|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
29|field|phraseboundaryview.h|126|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
32|branch|metricweights.cpp|46|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
40|branch|regiontoneprimitives.cpp|244|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
48|branch|regiontoneprimitives.cpp|180|SURVIVES|CLEAN|RETIRES|P1-FLAG|DIFF
53|branch|spellingview.cpp|47|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
55|branch|regiontoneprimitives.cpp|147|SURVIVES|CLEAN|RETIRES|P1-FLAG|DIFF
62|branch|regiontoneprimitives.cpp|240|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
66|branch|spellingview.cpp|59|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
76|branch|metricweights.cpp|44|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
78|branch|regiontoneprimitives.cpp|64|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
79|field|regiontonecollector.h|250|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
83|branch|spellingview.cpp|64|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
84|branch|metricweights.cpp|45|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
85|function|metricweights.cpp|131|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
92|function|spellingview.cpp|44|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
94|branch|regiontoneprimitives.cpp|252|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
95|field|phraseboundaryview.h|114|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
97|branch|spellingview.cpp|72|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
98|function|metricweights.cpp|55|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
101|function|phraseboundaryview.cpp|285|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
103|branch|regiontoneprimitives.cpp|263|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
104|field|spellingview.h|100|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
