file,line,kind,value,func,population,verdict_class,verdict,in_param_manifest,assumes,publishes,consumes,edge_cases,finding,note
src/composing/analysis/chord/chordsymbolformatter.cpp,85,function,csfPitchClassNameFromTpc,,LIVE,code,SURVIVES,n/a,a committed ChordAnalysisResult (identity + function + key context),a display string (chord symbol / Roman numeral / Nashville number),"notation render bridge, batch_analyze output, status bar / context menu","empty/sparse identity, Unknown quality, slash bass, enharmonic spelling, chromatic root, symmetric chord",,LIVE display formatter function; analysis-is-display-agnostic separation (#2.3).
src/composing/analysis/chord/chordsymbolformatter.cpp,88,literal,12,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,FINDING duplication (#6): SHARP/FLAT/GERMAN note-name tables (2nd copy),Second verbatim copy of the 46-58 note-name tables. Same ARCHITECTURE-known duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,91,literal,12,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,Second verbatim copy of the 46-58 note-name tables. Same ARCHITECTURE-known duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,94,literal,12,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,Second verbatim copy of the 46-58 note-name tables. Same ARCHITECTURE-known duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,97,literal,12,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,Second verbatim copy of the 46-58 note-name tables. Same ARCHITECTURE-known duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,102,branch,,csfPitchClassNameFromTpc,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,108,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,FINDING premise-provenance (#17f): enharmonic-spelling normalization thresholds,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,108,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,108,literal,11,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,108,literal,7,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,108,literal,8,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,109,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,109,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,109,literal,4,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,109,literal,6,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,109,literal,7,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,131,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,131,literal,20,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,133,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,133,literal,3,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,133,literal,4,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,134,literal,10,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,134,literal,5,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,136,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,140,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,141,literal,8,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,142,literal,6,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,143,literal,8,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,144,literal,2,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,144,literal,8,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,174,literal,7,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,174,literal,14,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,176,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,177,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,179,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,187,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,187,literal,5,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,187,literal,11,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,187,literal,19,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,187,literal,20,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,188,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,189,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,189,literal,6,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,189,literal,4,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,189,literal,18,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,189,literal,19,csfPitchClassNameFromTpc,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,"music-theory / TPC-encoding / notation-catalog integer (pitch class, scale interval, TPC code, key-fifths threshold, figured-bass index). Not tunable; not in param_manifest."
src/composing/analysis/chord/chordsymbolformatter.cpp,190,branch,,csfPitchClassNameFromTpc,LIVE,premise,ASSUMPTION,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,"The pc=3/pc=8/pc=10 and Cb/Fb spelling-normalization branches are notation-convention ASSUMPTIONS justified in comments by hand-transcribed corpus-survey counts (Iter 78/84/89: '533 sharp-authored pc=8', '155/277', '95/256') that are not generated artifacts (#17f). Display-layer only (does not affect chord identity/inference). Load-bearing for display spelling correctness."
src/composing/analysis/chord/chordsymbolformatter.cpp,195,function,csfQualitySuffix,,LIVE,code,SURVIVES,n/a,a committed ChordAnalysisResult (identity + function + key context),a display string (chord symbol / Roman numeral / Nashville number),"notation render bridge, batch_analyze output, status bar / context menu","empty/sparse identity, Unknown quality, slash bass, enharmonic spelling, chromatic root, symmetric chord",,LIVE display formatter function; analysis-is-display-agnostic separation (#2.3).
src/composing/analysis/chord/chordsymbolformatter.cpp,203,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,204,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,205,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,206,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,207,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,215,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,216,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,217,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,219,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,220,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,221,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,222,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,223,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
src/composing/analysis/chord/chordsymbolformatter.cpp,224,branch,,csfQualitySuffix,LIVE,code,SURVIVES,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,notation-convention rendering branch.
