process_order,row_id,kind,label,axis,my_fine,pass1_verdict,bucket,manifest_covered,coverage_note,reason_code
26,literal|src/composing/analysis/key/keymodeanalyzer.h|87|399,literal,4 in keyModeTonicOffset,constants,ESTABLISHED,ESTABLISHED,CONCORDANT,,,STRUCT_THEORY
27,literal|src/composing/analysis/key/keymodeanalyzer.h|133|413,literal,0.0 in <file-scope>,constants,ESTABLISHED,ESTABLISHED,CONCORDANT,,,STRUCT_MECH
28,literal|src/composing/analysis/key/keymodeanalyzer.h|134|414,literal,0.0 in <file-scope>,constants,ESTABLISHED,ESTABLISHED,CONCORDANT,,,STRUCT_MECH
29,literal|src/composing/analysis/key/modepriorpresets.cpp|67|506,literal,0.50 in modePriorPresets,constants,UNRESOLVABLE-FROM-PROSE,UNFIT,UNRESOLVABLE,yes,pass-1 UNFIT (not-in-manifest; DT-2/OI-91),FITTED_UNRESOLVED
30,literal|src/composing/analysis/key/modepriorpresets.cpp|86|525,literal,2.50 in modePriorPresets,constants,UNRESOLVABLE-FROM-PROSE,UNFIT,UNRESOLVABLE,yes,pass-1 UNFIT (not-in-manifest; DT-2/OI-91),FITTED_UNRESOLVED
31,literal|src/composing/analysis/key/modepriorpresets.cpp|98|534,literal,1.50 in modePriorPresets,constants,UNRESOLVABLE-FROM-PROSE,UNFIT,UNRESOLVABLE,yes,pass-1 UNFIT (not-in-manifest; DT-2/OI-91),FITTED_UNRESOLVED
32,literal|src/composing/analysis/key/modepriorpresets.cpp|121|554,literal,2.00 in modePriorPresets,constants,UNRESOLVABLE-FROM-PROSE,UNFIT,UNRESOLVABLE,yes,pass-1 UNFIT (not-in-manifest; DT-2/OI-91),FITTED_UNRESOLVED
33,literal|src/composing/analysis/key/modepriorpresets.cpp|125|558,literal,0.20 in modePriorPresets,constants,UNRESOLVABLE-FROM-PROSE,UNFIT,UNRESOLVABLE,yes,pass-1 UNFIT (not-in-manifest; DT-2/OI-91),FITTED_UNRESOLVED
34,literal|src/composing/analysis/region/regionanalyzer.cpp|453|615,literal,12 in applyJointKeyWiring,constants,ESTABLISHED,ESTABLISHED,CONCORDANT,,,STRUCT_MECH
35,literal|src/composing/analysis/section/jointkeydecision.cpp|87|719,literal,9 in <file-scope>,constants,ESTABLISHED,ESTABLISHED,CONCORDANT,,,STRUCT_THEORY
36,literal|src/composing/analysis/types/analysistypes.h|436|820,literal,0.0 in bounds,constants,ESTABLISHED,DEFERRED,GENUINE-DISAGREEMENT,,,STRUCT_BOUND
37,literal|src/composing/analysis/types/analysistypes.h|442|833,literal,1.0 in bounds,constants,ESTABLISHED,DEFERRED,GENUINE-DISAGREEMENT,,,STRUCT_BOUND
38,literal|src/composing/analysis/types/analysistypes.h|443|835,literal,1.0 in bounds,constants,ESTABLISHED,DEFERRED,GENUINE-DISAGREEMENT,,,STRUCT_BOUND
39,literal|src/composing/analysis/types/analysistypes.h|823|916,literal,0.0 in bounds,constants,ESTABLISHED,UNFIT,GENUINE-DISAGREEMENT,,,STRUCT_BOUND
40,literal|src/composing/analysis/types/analysistypes.h|831|930,literal,0.5 in bounds,constants,ESTABLISHED,UNFIT,GENUINE-DISAGREEMENT,,,STRUCT_BOUND
