process_order,file,line,kind,ident,my_verdict,pass1_verdict,pass1_class,raw_agree,concordance
20,src/composing/analysis/region/regionanalyzer.cpp,1270,literal,2,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
21,src/composing/analysis/key/keymodeanalyzer.cpp,48,literal,6,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
22,src/composing/analysis/key/keymodeanalyzer.cpp,321,function,scoreCharacteristicPitch,SURVIVES,SURVIVES,code,True,CONCORDANT
23,src/composing/analysis/section/cadencekeyanchor.h,98,field,endsPhrase,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
24,src/composing/analysis/key/keymodeanalyzer.cpp,56,literal,10,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
25,src/composing/analysis/types/analysistypes.h,715,field,disambiguationTriadCost,ESTABLISHED,UNFIT,constant,False,CONCORDANT
26,src/composing/analysis/section/sectionanalyzer.cpp,286,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
27,src/composing/analysis/types/analysistypes.h,864,literal,2.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
28,src/composing/analysis/section/sectionanalyzer.h,99,field,tick,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
29,src/composing/analysis/key/keymodeanalyzer.cpp,762,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
30,src/composing/analysis/types/analysistypes.h,856,literal,5.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
31,src/composing/analysis/key/keymodeanalyzer.cpp,429,function,tonalCenterScore,SURVIVES,SURVIVES,code,True,CONCORDANT
32,src/composing/analysis/region/regionanalyzer.cpp,45,crosslayer,composing/analysis/harmony/harmonicsegmenter.h,SURVIVES,FORWARD-OK,cross,False,CONCORDANT
33,src/composing/analysis/types/analysistypes.h,733,literal,1.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
34,src/composing/analysis/types/analysistypes.h,191,literal,0.30,ESTABLISHED,DEFERRED,deferred,False,CONCORDANT
35,src/composing/analysis/key/keymodeformatting.cpp,84,branch,case,SURVIVES,NO-ISSUE,code,False,CONCORDANT
36,src/composing/analysis/key/keymodeanalyzer.h,133,field,triadEvidence,PUBLISHED,PUBLISHED,derived-fact,True,CONCORDANT
37,src/composing/analysis/key/keymodeanalyzer.cpp,173,literal,2,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
38,src/composing/analysis/region/regionanalyzer.cpp,1092,literal,2,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
39,src/composing/analysis/key/keymodeanalyzer.h,140,field,finalScore,PUBLISHED,PUBLISHED,derived-fact,True,CONCORDANT
40,src/composing/analysis/types/analysistypes.h,675,field,modePriorLydianSharp2,ESTABLISHED,UNFIT,constant,False,CONCORDANT
41,src/composing/analysis/key/keymodesequence.cpp,210,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
42,src/composing/analysis/types/analysistypes.h,601,literal,0.25,ESTABLISHED,UNFIT,constant,False,CONCORDANT
43,src/composing/analysis/types/analysistypes.h,852,literal,5.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
44,src/composing/analysis/key/keymodesequence.cpp,416,function,redecodeRange,SURVIVES,SURVIVES,code,True,CONCORDANT
45,src/composing/analysis/region/regionanalyzer.cpp,443,branch,ternary,SURVIVES,NO-ISSUE,code,False,CONCORDANT
46,src/composing/analysis/region/regionanalyzer.h,101,field,maxReachSteps,ESTABLISHED,NO-ISSUE,no-issue,False,CONCORDANT
47,src/composing/analysis/key/keymodeanalyzer.cpp,527,literal,12,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
48,src/composing/analysis/types/analysistypes.h,672,field,modePriorIonianSharp5,ESTABLISHED,UNFIT,constant,False,CONCORDANT
49,src/composing/analysis/key/keymodeanalyzer.cpp,59,literal,6,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
50,src/composing/analysis/key/keymodeanalyzer.cpp,394,branch,case,SURVIVES,NO-ISSUE,code,False,CONCORDANT
51,src/composing/analysis/types/analysistypes.h,880,literal,0.5,ESTABLISHED,UNFIT,constant,False,CONCORDANT
52,src/composing/analysis/section/sectionanalyzer.cpp,680,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
53,src/composing/analysis/section/jointkeydecision.cpp,49,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
54,src/composing/analysis/section/jointkeydecision.cpp,81,literal,4,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
55,src/composing/analysis/key/modepriorpresets.h,64,literal,2.50,ESTABLISHED,UNFIT,constant,False,CONCORDANT
56,src/composing/analysis/types/analysistypes.h,845,literal,5.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
57,src/composing/analysis/key/keymodeanalyzer.h,142,literal,0.0,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
58,src/composing/analysis/key/keymodeanalyzer.cpp,669,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
59,src/composing/analysis/key/modepriorpresets.cpp,59,literal,1.50,ESTABLISHED,UNFIT,constant,False,CONCORDANT
60,src/composing/analysis/key/keymodeanalyzer.cpp,390,branch,case,SURVIVES,NO-ISSUE,code,False,CONCORDANT
61,src/composing/analysis/key/modepriorpresets.cpp,133,literal,0.00,ESTABLISHED,UNFIT,constant,False,CONCORDANT
62,src/composing/analysis/region/harmonicrhythm.h,80,field,endTick,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
63,src/composing/analysis/region/regionanalyzer.cpp,666,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
64,src/composing/analysis/key/keymodeanalyzer.cpp,173,branch,case,SURVIVES,NO-ISSUE,code,False,CONCORDANT
65,src/composing/analysis/types/analysistypes.h,803,literal,0.2,ESTABLISHED,UNFIT,constant,False,CONCORDANT
66,src/composing/analysis/types/analysistypes.h,837,literal,0.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
67,src/composing/analysis/key/keymodeanalyzer.cpp,67,literal,8,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
68,src/composing/analysis/key/keymodeanalyzer.cpp,416,literal,2,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
69,src/composing/analysis/key/keymodeanalyzer.cpp,349,literal,0.5,ESTABLISHED,UNFIT,constant,False,CONCORDANT
70,src/composing/analysis/region/regionanalyzer.cpp,1333,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
71,src/composing/analysis/region/regionanalyzer.cpp,990,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
72,src/composing/analysis/section/jointkeydecision.h,171,field,prodTonicPc,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
73,src/composing/analysis/key/keymodesequence.cpp,168,literal,0.0,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
74,src/composing/analysis/region/regionanalyzer.cpp,944,literal,12,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
75,src/composing/analysis/key/keymodeanalyzer.cpp,105,literal,4,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
76,src/composing/analysis/key/keymodeanalyzer.cpp,67,literal,3,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
77,src/composing/analysis/key/keymodeformatting.cpp,129,branch,case,SURVIVES,NO-ISSUE,code,False,CONCORDANT
78,src/composing/analysis/key/keymodeanalyzer.cpp,172,literal,5,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
79,src/composing/analysis/types/analysistypes.h,843,literal,5.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
80,src/composing/analysis/key/keymodeanalyzer.cpp,378,function,scoreModePrior,SURVIVES,SURVIVES,code,True,CONCORDANT
81,src/composing/analysis/region/harmonicrhythm.h,46,field,bassIsStepwiseToNext,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
82,src/composing/analysis/key/keymodeanalyzer.cpp,98,literal,8,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
83,src/composing/analysis/key/keymodeanalyzer.cpp,24,crosslayer,../chord/analysisutils.h,SURVIVES,BACK-EDGE-NOTE,cross,False,CONCORDANT
84,src/composing/analysis/key/keymodesequence.h,160,field,chosen,PUBLISHED,PUBLISHED,derived-fact,True,CONCORDANT
85,src/composing/analysis/key/keymodeanalyzer.cpp,789,literal,12,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
86,src/composing/analysis/region/regionanalyzer.cpp,174,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
87,src/composing/analysis/section/cadencekeyanchor.cpp,203,literal,0.0,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
88,src/composing/analysis/key/modepriorpresets.h,65,field,ionianSharp5,ESTABLISHED,NO-ISSUE,no-issue,False,CONCORDANT
89,src/composing/analysis/key/keymodeanalyzer.cpp,55,literal,2,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
90,src/composing/analysis/section/sectioncadencedetection.cpp,178,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
91,src/composing/analysis/key/keymodeanalyzer.h,37,literal,1.0,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
92,src/composing/analysis/types/analysistypes.h,885,literal,0.5,ESTABLISHED,UNFIT,constant,False,CONCORDANT
93,src/composing/analysis/key/keyresolver.cpp,41,crosslayer,composing/analysis/chord/analysisutils.h,SURVIVES,BACK-EDGE-NOTE,cross,False,CONCORDANT
94,src/composing/analysis/types/analysistypes.h,893,literal,0.5,ESTABLISHED,UNFIT,constant,False,CONCORDANT
95,src/composing/analysis/key/keymodeanalyzer.cpp,175,literal,4,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
96,src/composing/analysis/types/analysistypes.h,845,literal,5.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
97,src/composing/analysis/key/keymodeanalyzer.cpp,51,literal,3,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
98,src/composing/analysis/section/localmodulationdetector.h,91,field,anchor,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
99,src/composing/analysis/section/sectionanalyzer.cpp,670,branch,ternary,SURVIVES,NO-ISSUE,code,False,CONCORDANT
100,src/composing/analysis/section/jointkeydecision.h,145,field,modulation,ESTABLISHED,UNFIT,constant,False,CONCORDANT
101,src/composing/analysis/key/modepriorpresets.cpp,122,literal,0.20,ESTABLISHED,UNFIT,constant,False,CONCORDANT
102,src/composing/analysis/region/regionanalyzer.cpp,44,crosslayer,composing/analysis/function/harmonicfunctionlayer.h,SURVIVES,MIXED-DEFERRED,cross,False,CONCORDANT
103,src/composing/analysis/region/regionanalyzer.cpp,771,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
104,src/composing/analysis/key/keymodesequence.cpp,180,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
105,src/composing/analysis/key/keymodeanalyzer.cpp,64,literal,3,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
106,src/composing/analysis/section/jointkeydecision.cpp,82,literal,3,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
107,src/composing/analysis/types/analysistypes.h,829,literal,2.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
108,src/composing/analysis/types/analysistypes.h,183,field,bassRootThirdOnlyMultiplier,ESTABLISHED,DEFERRED,deferred,False,CONCORDANT
109,src/composing/analysis/key/modepriorpresets.cpp,102,literal,2.00,ESTABLISHED,UNFIT,constant,False,CONCORDANT
110,src/composing/analysis/region/regionanalyzer.cpp,313,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
111,src/composing/analysis/section/cadencekeyanchor.cpp,152,literal,0.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
112,src/composing/analysis/region/regionanalyzer.cpp,241,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
113,src/composing/analysis/key/keymodesequence.h,163,field,uncertain,PUBLISHED,PUBLISHED,derived-fact,True,CONCORDANT
114,src/composing/analysis/key/keymodesequence.cpp,65,literal,12,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
115,src/composing/analysis/section/jointkeydecision.cpp,381,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
116,src/composing/analysis/key/keyresolver.cpp,316,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
