cluster_id,signal,occurrences,distinct_texts,files,boilerplate_class,internally_divergent,divergence_triggers,min_pairwise_similarity,formed_by_chaining,proposed_representative_id,proposed_representative_file,proposed_representative_line,authority_reason,dates,ratified_by,member_ids,representative_text_excerpt_grouped_clusters_only_full_text_in_decision_candidates_json
DC-00011,1-text,11,1,11,document_scaffolding,,,1.0,,DH-06362,cc_instruction_adoption_measurement.md,95,Claude Code session report or dispatch (a restatement by construction),,,DH-06362;DH-06370;DH-06935;DH-07644;DH-07650;DH-07659;DH-09097;DH-09107;DH-09330;DH-10119;DH-10125,## Self-check before reporting (standing rule)
DC-00012,1-text,11,1,11,document_scaffolding,,,1.0,,DH-06475,cc_instruction_audit_harmonicfunctionlayer.md,39,Claude Code session report or dispatch (a restatement by construction),,user,DH-06438;DH-06458;DH-06468;DH-06475;DH-06486;DH-06490;DH-06496;DH-07609;DH-08169;DH-08519;DH-08788,## §4 — Stop conditions
DC-00013,1-text,11,1,11,dispatch_instruction,,,1.0,,DH-07718,cc_instruction_l1_l2_audit_blind_rerun.md,73,Claude Code session report or dispatch (a restatement by construction),,,DH-07718;DH-07785;DH-07799;DH-07837;DH-07851;DH-07862;DH-07875;DH-07885;DH-07908;DH-07927;DH-07938,2. Do not read the withheld files.
DC-00014,1-text,10,1,6,document_scaffolding,,,1.0,,DH-03693,docs/divergence_d_recon.md,7,design or decision document (docs/ or cowork_*),,,DH-03693;DH-03702;DH-03719;DH-03927;DH-03979;DH-03982;DH-03983;DH-03985;DH-04119;DH-10266,## Verdict
DC-00015,1-text,10,1,10,,,,1.0,,DH-04860,open_items/OI-56.md,5,the open-items register,2026-05-14;2026-07-10;2026-07-11;2026-07-12;2026-07-13,cowork;user,DH-04419;DH-04422;DH-04425;DH-04428;DH-04823;DH-04826;DH-04829;DH-04832;DH-04860;DH-04878,**Section E — User adjudication / ratification pending**
DC-00016,1-text,9,1,9,,,,1.0,,DH-05028,cc_acquisition_round_report.md,232,Claude Code session report or dispatch (a restatement by construction),,,DH-05028;DH-05535;DH-05564;DH-13066;DH-13096;DH-13134;DH-13164;DH-13361;DH-13708,**Reuse-vs-new + what retires.**
DC-00017,1-text,9,1,9,dispatch_instruction,,,1.0,,DH-06591,cc_instruction_backup_batch2.md,43,Claude Code session report or dispatch (a restatement by construction),,,DH-06591;DH-06601;DH-06610;DH-08260;DH-08343;DH-08377;DH-08387;DH-09343;DH-10024,- A push would target `upstream` → STOP.
DC-00018,1-text,7,4,7,dispatch_instruction,,,0.8182,,DH-05850,cc_engage_joint_key_chord_design_report.md,146,Claude Code session report or dispatch (a restatement by construction),2026-07-07,cowork,DH-05850;DH-07152;DH-07211;DH-07219;DH-07228;DH-07251;DH-07259,- Push **fork-only** — never toward `upstream`/`musescore/MuseScore` (`cfc7eb5e39` HARD STOP honored).
DC-00019,1-text,7,1,1,,,,1.0,,DH-14625,src/notation/tests/pipeline_snapshot_tests/pipeline_snapshot_tests.cpp,372,a comment at the code site the decision governs,,,DH-14625;DH-14630;DH-14635;DH-14639;DH-14645;DH-14649;DH-14653,"/*excludeStaves=*/{},"
DC-00020,1-text,6,1,1,document_scaffolding,,,1.0,,DH-06114,cc_gap_analysis_report.md,45,Claude Code session report or dispatch (a restatement by construction),,,DH-06114;DH-06116;DH-06120;DH-06123;DH-06128;DH-06137,| Spec § | Rule (short) | Code site | Status | Tested? | Verdict |
DC-00021,1-text,6,2,6,dispatch_instruction,,,0.9167,,DH-09210,cc_instruction_refactor1_split_build.md,62,Claude Code session report or dispatch (a restatement by construction),,,DH-09210;DH-09220;DH-09230;DH-09238;DH-09250;DH-09260,"- Any non-byte-identical step (golden / `.ours.json` / BIR / test move) → STOP, surface."
DC-00022,1-text,5,1,1,,,,1.0,,DH-03954,docs/phase4_recon.md,150,design or decision document (docs/ or cowork_*),,,DH-03954;DH-03955;DH-03956;DH-03957;DH-03958,Verdict: **mechanical**.
DC-00023,1-text,5,1,5,dispatch_instruction,,,1.0,,DH-06469,cc_instruction_audit_chordanalyzer_oracle.md,44,Claude Code session report or dispatch (a restatement by construction),,,DH-06469;DH-06476;DH-06491;DH-06497;DH-08789,- Any production/inference/behavior change → STOP. A probe that moves production output → STOP.
DC-00024,1-text,5,3,5,dispatch_instruction,,,0.72,yes,DH-07818,cc_instruction_l3_audit_pass2_relabel.md,132,Claude Code session report or dispatch (a restatement by construction),2026-07-11;2026-07-12,user,DH-07707;DH-07818;DH-07893;DH-07959;DH-08508,"4. **Push — authorized by the user, 2026-07-11:** all local commits to `origin` only,    after `git remote -v` confirms `upstream` push is still disabled; anything that    would touch `upstream` is the standing hard stop. Confirm in the report: the pushed    hash, `upstream` untouched."
DC-00025,1-text,5,1,1,,,,1.0,,DH-14626,src/notation/tests/pipeline_snapshot_tests/pipeline_snapshot_tests.cpp,375,a comment at the code site the decision governs,,,DH-14626;DH-14631;DH-14636;DH-14640;DH-14654,"/*excludeStaves=*/{}, rawRegions);"
DC-00026,1-text,4,1,4,document_scaffolding,,,1.0,,DH-02356,cowork_layer4_chordsymbol_design.md,559,design or decision document (docs/ or cowork_*),2026-06-24;2026-06-30,user,DH-02356;DH-02519;DH-02589;DH-03525,## 15. Open items & deferred refinements
DC-00027,1-text,4,1,4,dispatch_instruction,,,1.0,,DH-07386,cc_instruction_gate_r_verify_and_commit.md,103,Claude Code session report or dispatch (a restatement by construction),,,DH-07386;DH-09038;DH-09191;DH-09607,Do not push.
DC-00028,1-text,4,1,4,dispatch_instruction,,,1.0,,DH-08164,cc_instruction_layer3_error_decomposition.md,95,Claude Code session report or dispatch (a restatement by construction),,,DH-08164;DH-08248;DH-08282;DH-08306,- A push would target `upstream` → STOP (fork-only).
DC-00029,1-text,4,1,4,dispatch_instruction,,,1.0,,DH-09118,cc_instruction_push_bi_checkpoint.md,57,Claude Code session report or dispatch (a restatement by construction),,,DH-09118;DH-09128;DH-09138;DH-09149,- Any sign the push target is `upstream` rather than `origin` → STOP immediately.
DC-00030,1-text,4,1,1,document_scaffolding,,,1.0,,DH-10587,cc_l1l3_delta_check_resync_report.md,21,Claude Code session report or dispatch (a restatement by construction),,,DH-10587;DH-10591;DH-10596;DH-10601,| Doc location | Code location | Verdict |
DC-00031,1-text,3,1,3,document_scaffolding,,,1.0,,DH-02127,cowork_layer1_note_model_design.md,194,design or decision document (docs/ or cowork_*),,,DH-02127;DH-02181;DH-02213,## 9. Architecture decisions (with the alternatives we weighed)
DC-00032,1-text,3,1,3,document_scaffolding,,,1.0,,DH-02311,cowork_layer4_chordsymbol_design.md,239,design or decision document (docs/ or cowork_*),,,DH-02311;DH-02461;DH-02566,## 5. Building-block view (the internal rules)
DC-00033,1-text,3,1,3,document_scaffolding,,,1.0,,DH-02498,cowork_layer5_function_design.md,611,design or decision document (docs/ or cowork_*),2026-06-26,,DH-02330;DH-02498;DH-02578,## 9. Architecture decisions (with the alternatives weighed)
DC-00034,1-text,3,1,2,,,,1.0,,DH-03496,cowork_voiceleading_axis_design.md,294,design or decision document (docs/ or cowork_*),,,DH-03496;DH-03500;DH-10101,Rules:
DC-00035,1-text,3,1,3,document_scaffolding,,,1.0,,DH-04217,docs/stage4c_cadence_key_design.md,127,design or decision document (docs/ or cowork_*),,user,DH-04217;DH-04227;DH-04245,## §7 — For user ratification
DC-00036,1-text,3,1,2,,,,1.0,,DH-04287,docs/unified_analysis_pipeline.md,225,design or decision document (docs/ or cowork_*),,,DH-04287;DH-07451;DH-07452,Decision rule:
DC-00037,1-text,3,1,3,document_scaffolding,,,1.0,,DH-04972,cc_L6_corpus_oracle_report.md,80,Claude Code session report or dispatch (a restatement by construction),,,DH-04972;DH-10641;DH-13490,## §6 — Verdict
DC-00038,1-text,3,1,3,dispatch_instruction,,,1.0,,DH-06549,cc_instruction_backfill_engravingbridge.md,53,Claude Code session report or dispatch (a restatement by construction),,,DH-06549;DH-08794;DH-08799,- `upstream` never; local commit only.
DC-00039,1-text,3,2,3,dispatch_instruction,,,0.8929,,DH-06557,cc_instruction_backfill_formatter.md,39,Claude Code session report or dispatch (a restatement by construction),,,DH-06557;DH-06565;DH-06571,- **Gate:** new tests pass (bar xfails); `composing_tests` grows; `notation_tests` + snapshots **unchanged**; corpus   53/24/53 by construction; build green. **Any corpus/snapshot movement → STOP.**
DC-00040,1-text,3,1,3,dispatch_instruction,,,1.0,,DH-07145,cc_instruction_engage_c3_measurement.md,118,Claude Code session report or dispatch (a restatement by construction),,,DH-07145;DH-07194;DH-07203,- Any push/PR/merge toward `upstream`/`musescore/MuseScore` (the `cfc7eb5e39` distribution HARD STOP).
DC-00041,1-text,3,1,3,document_scaffolding,,,1.0,,DH-07332,cc_instruction_foundation_stage3a.md,46,Claude Code session report or dispatch (a restatement by construction),,user,DH-06606;DH-07322;DH-07332,## §5 — Constraints & stop conditions
DC-00042,1-text,3,1,3,,,,1.0,,DH-07802,cc_instruction_l3_audit_pass2.md,102,Claude Code session report or dispatch (a restatement by construction),,,DH-07802;DH-07888;DH-07955,"2. Compare your verdicts with the first pass's on the same rows, both samples. Classify    every disagreement — substantive miss / wording or verdict-axis difference / judgment    tie — and for every substantive one, diagnose which protocol step let it through    before proceeding."
DC-00043,1-text,3,1,3,document_scaffolding,,,1.0,,DH-08022,cc_instruction_layer1_phase1a_build.md,82,Claude Code session report or dispatch (a restatement by construction),,,DH-08022;DH-08224;DH-09340,## §8 — Stop conditions
DC-00044,1-text,3,1,3,dispatch_instruction,,,1.0,,DH-08829,cc_instruction_phase5b_step2final_o2_inherit.md,50,Claude Code session report or dispatch (a restatement by construction),,,DH-08829;DH-08838;DH-08845,"- **Production byte-identical:** corpus 53/24/53, both suites, snapshots unchanged (decoder dead). **Movement → STOP.**"
DC-00045,1-text,3,1,3,dispatch_instruction,,,1.0,,DH-09078,cc_instruction_prefit_gates_commit.md,34,Claude Code session report or dispatch (a restatement by construction),2026-07-19,user,DH-06908;DH-06922;DH-09078,- **Push to `origin` only.** `upstream` push stays disabled (the standing `cfc7eb5e39` hard stop).
DC-00046,1-text,3,2,3,dispatch_instruction,,,0.9333,,DH-09123,cc_instruction_push_doc_sync.md,29,Claude Code session report or dispatch (a restatement by construction),,,DH-09123;DH-09133;DH-09143,"- The pre-push hook should pass. If it FAILS → STOP, report, do not force or bypass."
DC-00047,1-text,3,1,3,,,,1.0,,DH-09217,cc_instruction_refactor_harmonicsegmenter_split.md,28,Claude Code session report or dispatch (a restatement by construction),,,DH-09217;DH-09227;DH-09235,"1. Build green. 2. `composing_tests` + `notation_tests` pass. 3. `pipeline_snapshot_tests` 11/11, **no `--update-goldens`**. 4. 3-preset `.ours.json` **0-diff** + **BIR 57/23/57**. Any deviation = STOP."
DC-00048,1-text,3,1,3,dispatch_instruction,,,1.0,,DH-09221,cc_instruction_refactor_harmonicsegmenter_split.md,40,Claude Code session report or dispatch (a restatement by construction),,,DH-09221;DH-09231;DH-09239,"- Any logic/scoring/inference change or ""fix"" → STOP (purity violation)."
DC-00049,1-text,3,1,3,document_scaffolding,,,1.0,,DH-09442,cc_instruction_stage2_4_ratification.md,3,Claude Code session report or dispatch (a restatement by construction),,cowork,DH-08433;DH-09442;DH-09461,## Ratification
DC-00050,1-text,3,1,3,document_scaffolding,,,1.0,,DH-10175,cc_j_key_i_report.md,249,Claude Code session report or dispatch (a restatement by construction),,,DH-10175;DH-10208;DH-10239,| Stop condition | Fired? |
DC-00051,1-text,3,1,3,document_scaffolding,,,1.0,,DH-10183,cc_j_key_i_report.md,290,Claude Code session report or dispatch (a restatement by construction),,,DH-10183;DH-10214;DH-10242,"### Files (HELD, uncommitted)"
DC-00052,1-text,3,1,3,document_scaffolding,,,1.0,,DH-11209,cc_layer3_decoder_audit_dossier.md,24,Claude Code session report or dispatch (a restatement by construction),,,DH-11209;DH-11373;DH-11462,## §0 — Headline findings (decision-relevant)
DC-00053,1-text,3,1,3,document_scaffolding,,,1.0,,DH-12303,cc_phase5c_step2_report.md,28,Claude Code session report or dispatch (a restatement by construction),,,DH-12303;DH-12316;DH-12336,"## §1 — INVESTIGATE-confirm (read-only) — GREEN, no STOP"
DC-00054,1-text,3,1,3,document_scaffolding,,,1.0,,DH-13108,cc_stage5_phase1_report.md,299,Claude Code session report or dispatch (a restatement by construction),,,DH-13108;DH-13138;DH-13166,## STOP conditions — status (none tripped)
DC-00055,1-text,3,1,1,,,,1.0,,DH-14612,src/notation/tests/notationinteraction_harmony_pinning_tests.cpp,186,a comment at the code site the decision governs,,,DH-14612;DH-14614;DH-14616,// Pinned at iter 9: 4 entries — staff 0 only (chord-track staff 1 excluded).
DC-00056,1-text,2,1,2,,,,1.0,,DH-00077,ARCHITECTURE.md,1274,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00077;DH-12669,### Path divergence decisions (Stage 2.4)
DC-00057,1-text,2,1,2,,,,1.0,,DH-00078,ARCHITECTURE.md,1276,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00078;DH-12670,"Four analysis-path divergences accumulated across the part-2 implementation review, the corpus audit (Findings 3/4), and the 2.2-i section-level dossier (§2/§7). They are decided here so they are not rediscovered. The unifying theme: the **batch BIR-measurement path** and the **live notation path** "
DC-00058,1-text,2,1,2,,,,1.0,,DH-00079,ARCHITECTURE.md,1293,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00079;DH-12671,"**Decision.** Cold context on P4 is the **current contract**, documented and accepted (the same precedent as the Stage 2.3 diagnose context banner: a path may legitimately analyze with less context, provided that is stated, not silent). No pre-pass is built now: Stage 3's lattice makes accumulated c"
DC-00059,1-text,2,1,2,,,,1.0,,DH-00080,ARCHITECTURE.md,1305,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00080;DH-12672,"**Facts.** `findTemporalContext` analyzes the backward predecessor (and forward successor) with `nullptr` context [code]. The Step-1/2 confidence fields (`previousWinnerScore/Margin/RootPcWeight`, `previousDistinctPcs`) are default-initialized (`-1.0`/`0.0`/`0`) and never written on the bridge path "
DC-00060,1-text,2,1,2,,,,1.0,,DH-00081,ARCHITECTURE.md,1313,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00081;DH-12673,"**Decision.** Same as D-P4: this is the **current contract**, documented. The forward-lookahead gap that previously left `nextRootPc=-1` was already closed (`90a52b5fee`); the residual (Step-1/2 confidence fields) genuinely requires a committed competition result from the neighbour, i.e. a forward p"
DC-00061,1-text,2,1,2,,,,1.0,,DH-00082,ARCHITECTURE.md,1319,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00082;DH-12674,**Revisit trigger.** Stage 3 design must state what the bridge consumes. The decoder's path state supersedes `findTemporalContext`'s cold walk.
DC-00062,1-text,2,1,2,,,,1.0,,DH-00083,ARCHITECTURE.md,1322,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00083;DH-12675,#### D-PASS0 — notation Pass-0 uses default prefs + `excludeLookAheadOnDenseStart=false`; batch uses preset prefs + `true`
DC-00063,1-text,2,1,2,,,,1.0,,DH-00084,ARCHITECTURE.md,1324,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00084;DH-12676,This divergence has **two independent halves**; Stage 2.4 investigation (§1.1) decides them separately.
DC-00064,1-text,2,1,2,,,,1.0,,DH-00087,ARCHITECTURE.md,1356,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00087;DH-12678,"**Decision (Half A).** Record this as a **product-level finding**, not a code change. The chord-scoring preset system is currently a **measurement-only artifact** of `batch_analyze`. Do **not** silently flip the live product onto preset chordPrefs — whether the product should expose a chord-scoring "
DC-00065,1-text,2,1,2,,,,1.0,,DH-00088,ARCHITECTURE.md,1363,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00088;DH-12679,"**Decision (Half B — `excludeLookAheadOnDenseStart`).** Unchanged and intentional. Batch passes `true`, the bridge defaults `false`; this is the **D1 / Iter-97 load-bearing divergence** (unifying it regresses the Corelli trio-sonata dominants on the bridge). Keep diverged; keep documented."
DC-00066,1-text,2,2,2,,,,0.9621,,DH-00089,ARCHITECTURE.md,1380,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00089;DH-12680,**Decision.** **Fixed now** (Stage 2.4 surgical fix — §3): the caller's `ChordAnalyzerPreferences` are threaded through `analyzeSection → inferGapRegion`. Proven user-neutral + gate-neutral (snapshots 11/11 zero diffs; flag-off BIR path byte-identical) — the live path passes default and is unaffecte
DC-00067,1-text,2,1,2,,,,1.0,,DH-00155,ARCHITECTURE.md,3325,governing document (CLAUDE.md / ARCHITECTURE.md),,,DH-00155;DH-00774,"2. evaluation tier separation: split published quality reporting into   internal consistency, root-only/root+quality external agreement on   full-texture corpora, and full harmonic correctness. Baselines must be   stable before held-out calibration is meaningful."
DC-00068,1-text,2,1,2,,,,1.0,,DH-00249,CLAUDE.md,106,governing document (CLAUDE.md / ARCHITECTURE.md),2026-07-26,user,DH-00249;DH-08529,"*Decision-neutrality of the existing implementation (corollary to #4/#6/#19; user-ratified 2026-07-26):* Designs are chosen from the principles and the ultimate objective — enabling the best possible inference — alone. In that choice: **(a)** the value of reusing existing code, and the cost of makin"
DC-00069,1-text,2,2,2,,,,0.9,,DH-00273,CLAUDE.md,405,governing document (CLAUDE.md / ARCHITECTURE.md),2026-06-22,user,DH-00273;DH-01796,"- **Class (b) — functional/key regression: UNCHANGED HARD STOP.** A new BIR=false case at a sonority   whose root is *pitch-class-decidable* (any non-symmetric chord — triads, dominant sevenths, etc.)   where the analysis now gets the root or key wrong. **Zero** new class-(b) cases on any preset, ev"
DC-00070,1-text,2,1,2,,,,1.0,,DH-00490,STATUS_ARCHIVE.md,36,archived status or handoff file,2026-07-26,cowork;user,DH-00490;DH-08531,"*Last updated: 2026-07-26, third entry (Cowork — **★ THE NOTATION-LAYER ADOPTION INCREMENT'S DECISION SURFACE IS USER-RATIFIED (`cowork_notation_adoption_increment.md`)** — the principles gain the decision-neutrality corollary (reuse/obsolescence secondary, counting only as carried-forward establish"
DC-00071,1-text,2,2,2,dispatch_instruction,,,0.8588,,DH-00599,STATUS_ARCHIVE.md,254,archived status or handoff file,2026-06-30,cowork,DH-00599;DH-06751,"*Previous: 2026-06-30 (session 19 — **HARMONIC IDIOM DISCOVERY (Cowork research track) — empirical cross-tradition study COMPLETE: 5 ratified harmonic idioms + voice-leading confirmed as a 2nd, orthogonal axis; docs + standalone `idiom_discovery/` pipeline; NO src/build/test change**) — A research-t"
DC-00072,1-text,2,1,1,,,,1.0,,DH-00740,STATUS_ARCHIVE.md,2480,archived status or handoff file,,,DH-00740;DH-00743,| **Chord identity agreement (retired onset-only/music21 figure)** | **3397** | **56.3%** | **83.7% (superseded by 50.0% WIR structural)** |
DC-00073,1-text,2,2,2,,yes,numbers differ between members,0.8,,DH-01766,cowork_fb_redesign_design.md,310,design or decision document (docs/ or cowork_*),,,DH-01766;DH-05783,"- **`cowork_layer5_function_design.md` §5.5 / §10 / §15-2** — the §15-2 ""θ accounts for the missing   progression term"" premise struck as refuted; §10's class-(b) correction job re-homed to C3 (§3.D-2)."
DC-00074,1-text,2,1,2,,,,1.0,,DH-01784,cowork_gateA_unification_design.md,256,design or decision document (docs/ or cowork_*),,user,DH-01784;DH-07187,## Task 4 — the build-event plan + the ratification surface
DC-00075,1-text,2,1,2,,,,1.0,,DH-02136,cowork_layer1_note_model_design.md,266,design or decision document (docs/ or cowork_*),,,DH-02136;DH-02188,"*The project's aim is to be the best harmonic inferrer it can be, so we take the best ideas from the field and say plainly which we rejected.*"
